headline	lead_paragraph	web_url
Global Climate Pact Gains Momentum as China, U.S. and Brazil Detail Plans	President Obama and President Dilma Rousseff of Brazil pledged to increase the use of wind and solar power, and Brazil said it would restore nearly 30 million acres of Amazon rain forest.	http://www.nytimes.com/2015/07/01/world/americas/us-and-brazil-agree-on-climate-change-actions.html
China Pledges to Halt Growth of Carbon Emissions in Climate Plan	China, the world’s top greenhouse gas emitter, pledged to wean its economy off fossil fuels and reach “the earliest possible peak” in emissions.	http://www.nytimes.com/2015/07/01/world/asia/china-carbon-emissions-climate-change.html
U.N. Chief: World Should Be Ashamed at Failure to End Syria Conflict	U.N. Secretary-General Ban Ki-moon said more than 220,000 Syrians have died in the conflict after major powers approved a blueprint in Geneva to bring peace to Syria.	http://www.nytimes.com/aponline/2015/06/30/world/middleeast/ap-un-united-nations-syria.html
Dirty Water and Open Defecation Threaten Gains in Child Health	A report by the World Health Organization and the United Nations Children’s Fund says that one in three people in the world have no sanitation facilities.	http://www.nytimes.com/2015/07/01/world/americas/dirty-water-and-open-defecation-threaten-gains-in-child-health.html
Greece, Missing I.M.F. Payment, Is Called Effectively in Default	Near the deadline for a loan payment, Prime Minister Alexis Tsipras asked for another bailout, which would buy time for Athens to renegotiate its debt.	http://www.nytimes.com/2015/07/01/world/europe/greece-alex-tsipras-debt-emergency-bailout.html
French Prosecutor Seeks Terrorism Charges Against Suspect in Decapitation Attack	Yassine Salhi is accused of beheading his boss and attempting to cause a major explosion last week at a chemical and gas company’s plant.	http://www.nytimes.com/2015/07/01/world/europe/france-terror-charges-against-yassine-salhi-in-decapitation-attack.html
In Afghanistan, Suicide Blast and Angry Crowd Target American Soldiers	In the confusion after a suicide bombing in Kabul on Tuesday, Afghans accused American soldiers of opening fire on them, and one soldier was attacked.	http://www.nytimes.com/2015/07/01/world/asia/in-afghanistan-suicide-blast-and-angry-crowd-target-american-soldiers.html
Argentine City Aims to Stand Out With Rebellious Spirit (and Coke) in a Cup	Residents of Córdoba, a city of 1.3 million in the interior, pride themselves on doing things differently from their countrymen — even at the bar.	http://www.nytimes.com/2015/07/01/world/americas/argentine-city-aims-to-stand-out-with-rebellious-spirit-and-coke-in-a-cup.html
New Cases of Ebola Put an End to Liberia’s Status as Virus-Free	The body of a teenager tested positive for the virus, ending Liberia’s Ebola-free status, said the deputy minister for health, and raising fresh concerns.	http://www.nytimes.com/2015/07/01/world/africa/liberia-ebola-epidemic.html
Amid Final Talks on Iran Nuclear Deal, Obama Calls Strict Verification Crucial	Mohammad Javad Zarif, Iran&#8217;s foreign minister, returns to Vienna for an intensive final week of talks after high-level meetings in Tehran.	http://www.nytimes.com/2015/07/01/world/middleeast/iran-nuclear-talks.html
Indonesian Military Plane With 113 Aboard Crashes Into City	A spokesman for the armed forces said that none of those aboard the C-130 transport plane had survived the crash into a residential area in Medan.	http://www.nytimes.com/2015/07/01/world/asia/indonesian-military-plane-crashes-into-medan.html
2 Dead After Self-Immolation on Japanese Bullet Train	A 71-year-old man doused himself and parts of the train’s interior with a flammable liquid before setting himself afire, witnesses said. A woman also died.	http://www.nytimes.com/2015/07/01/world/asia/deadly-fire-on-japanese-bullet-train.html
Thousands Expected at Hong Kong Pro-Democracy Rally	Hong Kongers are set to take to the streets to renew their call for full democracy for the Asian financial hub in a rally that follows a turbulent year of protests over political reform.	http://www.nytimes.com/aponline/2015/06/30/world/asia/ap-as-hong-kong-democracy-protest.html
Idaho Refugee Center Targeted by Closure Campaign Over Extremism Fears	A long-standing refugee welcoming center in conservative Idaho has found itself at the center of a campaign by adversaries seeking to force it closed, citing fears that the immigrants it hosts could include Islamist extremists.	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-usa-refugees-idaho.html
China's Manufacturing Weak in June, More Jobs Cut	Two surveys show China's manufacturing was weak in June and employers cut more jobs in a new sign of weakness in the world's second-largest economy.	http://www.nytimes.com/aponline/2015/06/30/world/asia/ap-as-china-manufacturing.html
Arrest Order Issued for Vice President of Honduran Congress	Honduras' Supreme Court has ordered the arrest of the vice president of Congress and 15 other people accused of defrauding the country's health care system in a corruption scandal that has sparked large street protests.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-honduras-corruption.html
Brazil Senate Approves Raise for Court Workers Amid Fiscal Crunch	Brazil's senate on Tuesday voted to raise salaries for court workers by as much as 78 percent over the next two years, pressuring government coffers at a time President Dilma Rousseff is trying to cut spending and attract investment.	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-brazil-salaries.html
Strike Triggers Delays at Australian Airports	International travellers endured delays across Australian airports on Wednesday after customs and immigration officials went on strike over pay and conditions.	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-australia-travel-strike.html
Mexico: Boy Shot in Head When Gunmen Fire on Military Convoy	Mexican authorities in a northern border state say a 7-year-old boy was shot in the head when gunmen fired on a military convoy.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-mexico-violence.html
China Adopts New Law to Make Networks, Systems 'Controllable'	"China's legislature adopted a national security law on Wednesday that will enable authorities to ""take all necessary"" measures to safeguard territorial sovereignty and ensure full control over the country's Internet infrastructure."	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-china-security.html
Japanese Business Mood Improves Despite Gloomy Data	The mood among big Japanese corporations is unexpectedly upbeat despite recent data showing the recovery appears to be stalling.	http://www.nytimes.com/aponline/2015/06/30/world/asia/ap-as-japan-economy.html
Honduras Issues Arrest Warrant for Congress Vice-President	Honduran authorities have issued an arrest warrant for federal lawmaker and Congress vice-president Lena Gutierrez, along with 15 other people accused of defrauding the country's health ministry, the head of the supreme court said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-honduras-corruption.html
Unemployment Is High, but France Is Fertile Ground for Start-Ups	Though youth unemployment hovers just below 25 percent, a proliferation of start-ups in France is putting silver linings among the economic clouds.	http://www.nytimes.com/2015/06/30/world/europe/unemployment-is-high-but-france-is-fertile-ground-for-start-ups.html
Smoking Ban Seems Cause of 15-Hour Australian Prison Riot	Australian authorities on Wednesday ended a 15-hour prison riot involving up to 300 inmates in Melbourne suspected to have been triggered by a ban on smoking.	http://www.nytimes.com/aponline/2015/06/30/world/asia/ap-as-australia-prison-riot.html
U.S. Names New Envoy for Bid to Close Guantanamo Prison	A newly appointed special envoy to lead the Obama administration&#8217;s efforts to close the Guantanamo prison said he saw a window of opportunity that could substantially reduce the detainee population there in coming months.	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-usa-guantanamo.html
Argentine Ruling Party Presidential Candidate Leads Rival-Poll	The candidate from the party of Argentina's outgoing President Cristina Fernandez has a lead over his more business-friendly rival with four months to go before the October election, according to a poll released on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-argentina-election.html
Returning Stars and Stripes to Havana	Wayne S. Smith honeymooned in Cuba before taking a post at the United States Embassy in Havana. He is one of the last living American diplomats who witnessed the day the embassy closed in 1961.	http://www.nytimes.com/video/world/100000003727148/returning-stars-and-stripes-to-havana.html
Cuba to Receive Note From Obama on Restoring Diplomatic Ties	Cuba's interim foreign minister will receive the chief of the U.S. diplomatic mission in Havana on Wednesday so he can deliver a note from U.S. President Barack Obama to Cuban President Raul Castro regarding the restoration of diplomatic relations between the longtime former nemeses, Cuba said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-cuba-usa-relations.html
Man Accused in Boko Haram Abduction of Chibok Girls Arrested	"Nigerian troops have arrested a businessman accused of ""participating actively"" in Boko Haram's mass abduction of nearly 300 schoolgirls from the northeastern town of Chibok last year, Nigeria's Defense Ministry said Tuesday."	http://www.nytimes.com/aponline/2015/06/30/world/africa/ap-af-nigeria-kidnapped-girls.html
Obama to Speak About Cuba in White House Rose Garden on Wednesday	President Barack Obama will deliver a statement on Cuba in the White House Rose Garden on Wednesday at 11 a.m. (1500 GMT), the White House said.	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-cuba-usa-whitehouse.html
Balcony in Deadly California Collapse Had Been Inspected Last Year	An apartment balcony that collapsed this month in Berkeley, California, killing five visiting Irish college students and an American friend, had been inspected last August and found to be in good condition, records released by the city show.	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-usa-california-collapse.html
French Soldiers Accused of Sexual Abuse of Minors in Africa	Two French soldiers serving in the African country of Burkina Faso are being suspended over accusations of sexual abuse of minors, authorities said Tuesday.	http://www.nytimes.com/aponline/2015/06/30/world/europe/ap-eu-france-burkina-faso-soldiers.html
U.S.-Cuba Deal to Restore Ties to Be Unveiled on Wednesday	The United States and Cuba have reached an agreement to reopen embassies and restore diplomatic ties severed more than five decades ago, and the historic deal will be unveiled on Wednesday, U.S. officials said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-cuba-usa.html
Former Afghan Soldier Who Fled U.S. Training Granted Asylum: Lawyer	A soldier in the Afghanistan army who went missing during a training exercise at a U.S. military base in Massachusetts last year has been granted asylum by the United States, his lawyer said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-usa-afghanistan-asylum.html
Taiwan Youth to China: Treat Us Like a Country	Young Taiwan activists have tied themselves up in chains, blocked mountain roads, scaled fences and thrown red paint balloons in a wave of anti-China sentiment likely to turn the island's politics on its head in January's presidential election. 	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-taiwan-china-youth.html
Hong Kong Expects Large Pro-Democracy Rally as It Marks 1997 Handover	Some seven months after Hong Kong police forcibly cleared pro-democracy street protesters from the streets, tens of thousands of people are expected to rally for free elections on Wednesday as the city marks the 18th anniversary of its return to China. 	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-hongkong-china.html
US Senator on Visit to Venezuela Amid Diplomatic Detente	The Republican chairman of the U.S. Senate Foreign Relations Committee is making a surprise visit to Venezuela amid a U.S. effort to reduce tensions with the South American nation.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-venezuela-us-senator-visit.html
Police Replace Soldiers on Security Duty in Big Rio Slum	Police in Rio de Janeiro have finished replacing more than 2,000 soldiers who have been stationed in the Mare complex of shantytowns to improve security and drive out the drug gangs that ruled the slum for decades.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-brazil-troops-leave-slum.html
Russia Fails to Clinch Deal on Gas Supplies to Ukraine	Talks on Russian gas supplies to Ukraine have failed to reach an agreement on future supplies.	http://www.nytimes.com/aponline/2015/06/30/world/europe/ap-eu-russia-ukraine-gas.html
Islamic State Threatens to Topple Hamas in Gaza	Islamic State insurgents threatened on Tuesday to turn the Gaza Strip into another of their Middle East fiefdoms, accusing Hamas, the organization that rules the Palestinian territory, of being insufficiently stringent about religious enforcement.	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-palestinians-islamicstate-hamas.html
Obama Downplays Dangers of Greek Crisis	President Obama said on Tuesday that Greece defaulting on its debts is concerning, but is primarily a problem for Europe.	http://www.nytimes.com/video/world/europe/100000003773458/obama-downplays-dangers-of-greek-crisis.html
Syria Mediator to Brief U.N. Chief Next Week on Peace Prospects	United Nations Syria mediator Staffan de Mistura will brief Secretary-General Ban Ki-moon next week on his talks with Syria's warring parties and world powers on how to end the country's four-year conflict, a U.N. spokesman said on Tuesday. 	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-mideast-crisis-syria-un.html
Liberia Confirms New Ebola Case	Dr. Bernice Dahn, Liberia’s new minister of health, said on Tuesday that the country had confirmed its first case of Ebola since it was declared free of the virus more than a month ago.	http://www.nytimes.com/video/world/africa/100000003773321/libera-confirms-new-ebola-case.html
Legislation Enacting Irish Gay Marriage Vote Delayed	Legislation allowing same-sex couples to marry in Ireland will be delayed until later this year following a legal challenge against last month's gay marriage referendum, a government minister was quoted as saying on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-ireland-gaymarriage.html
Pirates and Hold-Ups: Crime Strikes Venezuela's Oil Industry	"When night falls over western Venezuela, armed gangs known as ""pirates"" sometimes ride boats into muggy Lake Maracaibo to steal equipment from oil wells."	http://www.nytimes.com/reuters/2015/06/30/world/americas/30reuters-venezuela-oil-crime.html
Fearing Euro Exit, Thousands of Greeks Rally for 'Yes' Vote	"Thousands of Greeks worried about the prospect of crashing out of Europe's currency union rallied in Athens on Tuesday behind a ""Yes"" vote in a referendum on whether to accept tough terms demanded by creditors to keep the country afloat."	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-eurozone-greece-protests.html
Austria, Hungary, Serbia Call for Help in Migrant Crisis	Austria, Hungary and Serbia called on the European Union on Tuesday to step up efforts to fight human smuggling through the Balkans and not just focus on southern immigration routes.	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-europe-migrants-balkans.html
Israel Deports Gaza Flotilla Activists	Israel has deported a group of pro-Palestinian activists, including a former Tunisian president, who tried to breach its naval blockade of the Gaza Strip.	http://www.nytimes.com/aponline/2015/06/30/world/middleeast/ap-ml-israel-gaza.html
France's Orange Prepares Possible Split From Israeli Partner	French telecommunications group Orange has reached a deal with its Israeli partner that could lead the way to their split, amid controversy and growing calls for companies to boycott Israel.	http://www.nytimes.com/aponline/2015/06/30/world/europe/ap-eu-france-israel-orange.html
Romania's Opposition Wins Spy Agency Vote as Ponta Government Limps On	Romania's opposition secured its first parliamentary victory on Tuesday after the UNPR junior coalition party temporarily switched sides, raising the chances that any new no-confidence motion might topple the leftist government. 	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-romania-government.html
US Opening Market to Argentina, Brazil Beef Imports	Argentina and Brazil are greeting news that they will soon be able to export fresh beef into the United States after a longtime ban.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-argentina-us-beef.html
Kerry, Zarif Had 'Productive' Meeting in Vienna: State Department	"U.S. Secretary of State John Kerry and his Iranian counterpart, Mohammad Javad Zarif, held a ""productive"" meeting in Vienna on Tuesday, the State Department said, as negotiations on curbing Iran's nuclear program were extended."	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-iran-nuclear-kerry-zarif.html
Around 1,200 Escape From Yemen Prison, Including Al Qaeda Suspects	Around 1,200 prisoners, including al Qaeda suspects, escaped during clashes at a jail in central Yemen on Tuesday, officials said.	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-yemen-security-prison.html
Tunisia Hotel Attack Gunman Trained in Libya: Official	The Tunisian gunman who carried out the hotel attack last Friday that killed 38 people, mostly British tourists, trained in a jihadist camp in Libya at the end of last year, Tunisian prime minister's spokesman Dafer Neji said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-tunisia-security-gunman.html
Witness Describes Attack on NATO Convoy	A suicide bomber attacked a convoy of foreign troops serving with NATO in the Afghan capital, Kabul.	http://www.nytimes.com/video/world/100000003773222/witness-describes-attack-on-nato-convoy.html
A Year After Mexico Army Slayings, Calls for Justice Mount	A year later, many people say justice still has not been served in the case of soldiers killing at least a dozen suspected gang members who had surrendered after a confrontation at a grain warehouse in southern Mexico.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-mexico-army-slayings.html
Jobs Program Needed for Syrian Refugees, UN Official Says	The head of the U.N. refugee agency in Jordan has called for jobs programs for Syrian refugees to deal with the fallout from the protracted Syria crisis and dwindling funding for aid programs.	http://www.nytimes.com/aponline/2015/06/30/world/middleeast/ap-ml-jordan-syrian-refugees.html
UK Historians Map Out Hidden, Undocumented Sites of LGBT History	From the street worked by a medieval transgender prostitute to a pond used by gay men to bathe nude, a map showing sites of historical significance to the lesbian, gay, bisexual and transgender (LGBT) community in England was launched on Tuesday. 	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-britain-rights-gay.html
Rights Group Says Airstrikes in Yemen Killed Many Civilians	Human Rights Watch says in a new report that airstrikes carried out by the Saudi-led coalition on Saada city in northern Yemen killed dozens of civilians in an apparent violation of the laws of war. The city is controlled by Shiite rebels.	http://www.nytimes.com/aponline/2015/06/30/world/middleeast/ap-un-united-nations-yemen-rights-violations.html
Three Killed in Car Bomb in Suburb West of Cairo: Sources	At least three people were killed on Tuesday when a car bomb exploded near a police station in Cairo's western suburb of 6th of October City, security sources said, a day after an attack killed Egypt's top public prosecutor.	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-egypt-anniversary-violence.html
Erdogan and Turkey Move Toward Once-Unthinkable Grand Coalition	Turkish President Tayyip Erdogan has built a career on attacking the elite, secularist tradition reviled by many of his pious supporters. In the heat of political battle, he has even accused secular opponents of allying with terrorists.	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-turkey-politics-coalition.html
Iran's Rouhani Says the West Should Remain Committed to a Final Nuclear Deal-IRNA	Iran's President Hassan Rouhani warned major powers on Tuesday that Tehran would resume its halted nuclear work if they went back on a proposed final deal aimed at curbing the country's nuclear work in return for easing sanctions. 	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-iran-nuclear-rouhani.html
U.N. to Report Iran Reduced Uranium Stockpile to Required Level-Envoys	The U.N. International Atomic Energy Agency (IAEA) is expected to report next month that Iran reduced its low enriched uranium stockpile to the level required under a preliminary nuclear deal with six major powers, Western diplomats said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-iran-nuclear-iaea.html
UK Charities Face Pressure Over Fundraising After Pensioner Suicide	British charities faced pressure from the government on Tuesday to voluntarily change the way they raise funds following a barrage of complaints about the public being bombarded with appeals for money.	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-britain-charities-regulations.html
UK: Royal Opera Defends 'Distressing' Rape Scene After Boos	"Britain's Royal Opera says it's sorry for causing distress but the show will go on after a rape scene in ""Guillaume Tell"" sparked boos and walkouts."	http://www.nytimes.com/aponline/2015/06/30/world/europe/ap-eu-britain-opera-controversy.html
Obama-Verification Regime Necessary for Iran Nuclear Deal	U.S. President Barack Obama acknowledged on Tuesday that Iranian negotiators have talked about backtracking from a framework agreement on its nuclear program, endangering ongoing negotiations to finalise the deal. 	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-iran-nuclear-obama.html
Romania Parliament Approves New Spy Chief in Blow to Premier	Romania's Parliament approved a new spy chief opposed by the prime minister on Tuesday, dealing a blow to the leader who faces increasing pressure to resign amid a corruption investigation.	http://www.nytimes.com/aponline/2015/06/30/world/europe/ap-eu-romania-politics.html
Ethiopia Mulls Tough Trafficking Law, Including Death Penalty	Human traffickers in Ethiopia could face life in jail or the death penalty under a bill presented to parliament on Tuesday aimed at curbing the illegal flow of people in and out of the Horn of Africa country.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-ethiopia-migrants.html
Amid Protests Nepal Presents 'Illegal' New Constitution After Quakes	Nepal presented a preliminary draft of its first republican constitution on Tuesday, but the country's top court has questioned the legality of the document that was rushed through after devastating earthquakes spurred politicians into action.	http://www.nytimes.com/reuters/2015/06/30/world/asia/30reuters-nepal-constitution.html
Hidden Cameras, Invisibility Cloaks in Israeli Spy Expo	Hidden cameras, invisibility cloaks and mini-drones were among the gadgets on display Tuesday at an exhibition of Israeli surveillance technology, offering a rare peek into the secretive world of Israeli espionage.	http://www.nytimes.com/aponline/2015/06/30/world/middleeast/ap-ml-israel-spycraft-expo.html
Nigeria's Buhari May Not Appoint Ministers Until September	Nigerian President Muhammadu Buhari may not name a cabinet until September as he takes time to find credible ministers and build a government untainted by the corruption of the past, a senior official and party sources said.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-nigeria-politics.html
Rights Group Says Arab Bombings Killed Dozens of Yemeni Civilians	Air strikes by a Saudi-led Arab coalition on the northern Yemeni city of Saada, a Houthi rebel stronghold, have killed dozens of civilians and wrecked homes and markets, Human Rights Watch said on Tuesday. 	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-yemen-security-airstrikes.html
One-Third of World's People Still Have No Proper Toilets	Toilets are taken for granted in the industrialized West, but still are a luxury for a third of the world's people who have no access to them, according to a report by the World Health Organization and UNICEF.	http://www.nytimes.com/aponline/2015/06/30/world/asia/ap-as-united-nations-sanitation.html
Italy Recovers First Bodies From Deadliest Migrant Shipwreck	Italy's navy said on Tuesday it had retrieved the first bodies from the wreck of a boat that sank in the Mediterranean three months ago, killing up to 800 migrants attempting to cross from Libya to Europe.	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-europe-migrants-italy.html
Former French Security Chief Charles Pasqua Dies at 88	Charles Pasqua, a French Resistance fighter who went on to become France's top security chief and a powerful player on the French right, has died in Paris. He was 88.	http://www.nytimes.com/aponline/2015/06/30/world/europe/ap-eu-france-obit-charles-pasqua.html
'Top Predator' Humans Causing Catastrophic Ecosystem Shifts: Study	Never before has a single species become the top predator on land and sea, and human dominance over the natural environment has caused shifts in world ecosystems unprecedented in the last 500 million years, researchers said on Tuesday. 	http://www.nytimes.com/reuters/2015/06/30/world/europe/30reuters-climatechange-science-species.html
World's Poorest Gain Access to Water, but Not Toilets	The poor's lack of access to sanitation threatens to undermine the health benefits they have gained from access to clean water, the United Nations said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-development-goals-sanitation.html
Mexico Won't Send Contestant to Miss Universe	Mexico's national beauty pageant director confirms the country won't send a contestant to the Miss Universe contest because of insulting remarks by Donald Trump, an owner of the pageant.	http://www.nytimes.com/aponline/2015/06/30/world/americas/ap-lt-mexico-donald-trump.html
Israeli Dies From Wounds in West Bank Shooting	One of four Israelis shot in the occupied West Bank on Monday by a suspected Palestinian gunman has died of his wounds in hospital, officials said on Tuesday.	http://www.nytimes.com/reuters/2015/06/30/world/middleeast/30reuters-israel-palestinians-violence.html
Efficient Stove Technology Eases North Kenya's Medical Waste Problem	Poor weather, security threats and bad roads have made disposing of the Wamba district hospital's medical waste a challenge.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-kenya-medical-energy.html
Thousands of Children Rescued From Dangerous Work in Tanzania Gold Mines	More than 12,000 children have been rescued in the past three years from gold mines in northern Tanzania, according to children's rights groups who fear thousands more youngsters are being forced to work in hazardous conditions for a pittance.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-tanzania-children-workers.html
IMF Says $918 Million Aid Programme With Ghana Is on Track	The International Monetary Fund's $918 million aid programme with Ghana is on track and the government has met almost all performance criteria, a senior Fund official said on Tuesday after an initial review mission.	http://www.nytimes.com/reuters/2015/06/30/world/africa/30reuters-ghana-imf.html
